Rank,teamId,teamName,team,teamFullName,location,teamAbbrevName,teamLevel,synergyTeamId,newestTeamId,newestTeamLevel,newestTeamName,newestTeamAbbrevName,newestTeamLocation,Conf
1,917019933,Comets,Palomar (JC),Palomar (JC),Palomar (JC),PJC,BBC,,917019933,BBC,Comets,PJC,Palomar (JC),CCCAA Pacific Coast
1,541208080,Lasers,Irvine Valley (JC),Irvine Valley (JC),Irvine Valley (JC),IVJC,BBC,,541208080,BBC,Lasers,IVJC,Irvine Valley (JC),CCCAA Orange Empire
1,898033583,Pirates,Orange Coast (JC),Orange Coast (JC),Orange Coast (JC),OCJC,BBC,,898033583,BBC,Pirates,OCJC,Orange Coast (JC),CCCAA Orange Empire
1,744516994,Roadrunners,Linn-Benton CC,Linn-Benton CC,Linn-Benton CC,LBCC,BBC,,744516994,BBC,Roadrunners,LBCC,Linn-Benton CC,JC Northwest Athletic Conference
1,965088129,Saints,Mt. Hood CC,Mt. Hood CC,Mt. Hood CC,MHCC,BBC,,965088129,BBC,Saints,MHCC,Mt. Hood CC,JC Northwest Athletic Conference
1,700822505,Mounties,Mt. San Antonio (JC),Mt. San Antonio (JC),Mt. San Antonio (JC),MSAJ,BBC,,700822505,BBC,Mounties,MSAJ,Mt. San Antonio (JC),CCCAA South Coast
1,786806611,Vikings,Long Beach (JC),Long Beach (JC),Long Beach (JC),LBJC,BBC,,786806611,BBC,Vikings,LBJC,Long Beach (JC),CCCAA South Coast
1,932618547,Condors,Oxnard (JC),Oxnard (JC),Oxnard (JC),OJC,BBC,,932618547,BBC,Condors,OJC,Oxnard (JC),CCCAA Western State
1,844418161,Eagles,Los Angeles Mission College,Los Angeles Mission College,Los Angeles Mission College,LAMC,BBC,,844418161,BBC,Eagles,LAMC,Los Angeles Mission College,CCCAA Western State
1,948523453,Monarchs,Los Angeles Valley College,Los Angeles Valley College,Los Angeles Valley College,LAVC,BBC,,948523453,BBC,Monarchs,LAVC,Los Angeles Valley College,CCCAA Western State
1,652775531,Mariners,Marin (JC),Marin (JC),Marin (JC),MJC,BBC,,652775531,BBC,Mariners,MJC,Marin (JC),CCCAA Bay Valley
1,663120068,Mustangs,Los Medanos (JC),Los Medanos (JC),Los Medanos (JC),LMJC,BBC,,663120068,BBC,Mustangs,LMJC,Los Medanos (JC),CCCAA Bay Valley
1,526271270,Forty Niners,Yuba (JC),Yuba (JC),Yuba (JC),YJC,BBC,,526271270,BBC,Forty Niners,YJC,Yuba (JC),CCCAA Bay Valley
1,587491209,Eagles,Mendocino (JC),Mendocino (JC),Mendocino (JC),MJC,BBC,,587491209,BBC,Eagles,MJC,Mendocino (JC),CCCAA Bay Valley
1,501415503,Blue Devils,Merced (JC),Merced (JC),Merced (JC),MJC,BBC,,501415503,BBC,Blue Devils,MJC,Merced (JC),CCCAA Central Valley
1,695094352,Cougars,Taft (JC),Taft (JC),Taft (JC),TJC,BBC,,695094352,BBC,Cougars,TJC,Taft (JC),CCCAA Central Valley
1,775909980,Eagles,Mt. San Jacinto (JC),Mt. San Jacinto (JC),Mt. San Jacinto (JC),MSJJ,BBC,,775909980,BBC,Eagles,MSJJ,Mt. San Jacinto (JC),CCCAA Pacific Coast
1,604290365,Storm,Napa Valley (JC),Napa Valley (JC),Napa Valley (JC),NVJC,BBC,,604290365,BBC,Storm,NVJC,Napa Valley (JC),CCCAA Bay Valley
1,932152134,Falcons,Solano (JC),Solano (JC),Solano (JC),SJC,BBC,,932152134,BBC,Falcons,SJC,Solano (JC),CCCAA Bay Valley
1,564040667,Renegades,Ohlone (JC),Ohlone (JC),Ohlone (JC),OJC,BBC,,564040667,BBC,Renegades,OJC,Ohlone (JC),CCCAA Coast Pacific
